"","Year","IcesDivision","species","LiveWtTonnes","LiveWtTonnesInclU10","MeanPricePerKgLiveWt","YearFact"
"3441",2016,"VIIg","Brill",47.800514,48.4615690000649,6.04845216517964,"2016"
"3442",2008,"VIIg","Cod",602.371425,603.032815,2.66307860289881,"2008"
"3443",2008,"VIIa","Cod",642.287255,642.948645,2.3855295462888,"2008"
"3444",2014,"VIIj","Turbot",53.9020100000001,54.5701049999999,8.90443920365863,"2014"
"3445",2009,"VIIa","Ling",9.07268,9.74804,1.14706105110539,"2009"
"3446",2016,"VIIa","Megrim",6.569285,7.249805,2.60074460158145,"2016"
"3447",2015,"VIIb","Nephrops",542.4605,543.158099999785,7.73353548036114,"2015"
"3448",2013,"VIIj","Conger eel",5.732,6.431,0.885114096301466,"2013"
"3449",2012,"VIIj","Squid",66.9605,67.6605,4.06828730732311,"2012"
"3450",2010,"VIIg","Saithe",74.96857,75.67657,1.00326648189137,"2010"
"3451",2015,"VIIj","Witch",29.04823,29.7611840003538,1.8224754176072,"2015"
"3452",2014,"VIIa","Shrimp",0.6392,1.3552,14.2510533255856,"2014"
"3453",2008,"VIIj","Monkfish",702.679987000001,703.397077,3.73968329750905,"2008"
"3454",2008,"VIIa","Brill",7.77453,8.49453,6.74073712957649,"2008"
"3455",2009,"VIIj","Herring",1242.396,1243.116,0.24454091932041,"2009"
"3456",2008,"VIIg","Lemon Sole",176.5286,177.253168,2.8950974345545,"2008"
"3457",2015,"VIIb","Brill",9.46773999999999,10.2092670015073,5.35042576158619,"2015"
"3458",2015,"VIa","Sole Black",16.00584,16.75048,9.58673663757765,"2015"
"3459",2014,"VIIg","Brill",28.976178,29.725008,5.93939073676313,"2014"
"3460",2011,"VIIj","Squid",59.706,60.456,3.48607751071032,"2011"
"3461",2012,"VIIa","Witch",16.973523,17.724003,1.71089455264621,"2012"
"3462",2011,"VIIj","Saithe",140.321665,141.095165,1.2065723916575,"2011"
"3463",2008,"VIIj","Mix Boxes",25.004298,25.780038,2.2433246415762,"2008"
"3464",2015,"VIIg","Sole Black",25.840747,26.6182630000015,10.102515779477,"2015"
"3465",2011,"VIIj","Nephrops",293.13355,293.91855,5.80275473414763,"2011"
"3466",2013,"VIIj","Brill",23.7476609999999,24.542489,5.37921040307929,"2013"
"3467",2014,"VIIj","Mix Boxes",26.417941,27.229591,2.29382808492517,"2014"
"3468",2011,"VIIg","Spiny Lobsters",0.1822,1.0009,25.1962129527991,"2011"
"3469",2016,"VIIa","Turbot",12.118476,12.945459000052,9.52659570299652,"2016"
"3470",2014,"VIIa","Turbot",7.203844,8.05404399999999,8.90642028965891,"2014"
"3471",2008,"VIIa","Shrimp",5.54395,6.40095,17.3799624816241,"2008"
"3472",2013,"VIIj","Turbot",58.730107,59.5879370000001,8.49248940751971,"2013"
"3473",2017,"VIIb","Hake",133.740867,134.612217,3.34571782059919,"2017"
"3474",2015,"VIIa","Sole Black",31.495827,32.3689649997134,12.3365570481905,"2015"
"3475",2016,"VIIb","Whiting",444.196509,445.069949,1.45676840080608,"2016"
"3476",2016,"VIIj","Demersal shark",5.773,6.651,0.585697211155379,"2016"
"3477",2008,"VIIj","Ling",62.8934010000001,63.772681,1.43686511138943,"2008"
"3478",2011,"VIa","Whiting",148.53248,149.41648,1.32098498240923,"2011"
"3479",2014,"VIIj","Witch",58.7748949999999,59.661635,1.75610050948468,"2014"
"3480",2015,"VIIa","Ling",6.98428,7.87234,1.31707213914677,"2015"
"3481",2017,"VIIa","Sole Black",13.777245,14.666894999994,12.4567401320075,"2017"
"3482",2015,"VIIb","Monkfish",391.429891,392.320368999535,3.804900583757,"2015"
"3483",2012,"VIIa","Ling",11.74086,12.63234,1.17648870412105,"2012"
"3484",2013,"VIIg","Brill",29.857226,30.7586559999999,5.57319472679746,"2013"
"3485",2014,"VIIg","Witch",346.370652000001,347.304512000002,1.81330505160697,"2014"
"3486",2015,"VIIb","Cod",39.354831,40.2928200001952,2.8017162873854,"2015"
"3487",2009,"VIIj","Plaice",70.496462,71.440412,1.76270857022129,"2009"
"3488",2015,"VIIg","Spiny Lobsters",0.3845,1.32862000131607,37.4655596389062,"2015"
"3489",2013,"VIIa","Whiting",43.490059,44.438779,1.22042227734802,"2013"
"3490",2015,"VIIa","Clam",18.005,18.955,2.2,"2015"
"3491",2008,"VIIa","Mix Boxes",38.4468950000001,39.4118450000001,1.19114760171754,"2008"
"3492",2014,"VIa","Brill",4.63795,5.625599,5.36708459556485,"2014"
"3493",2016,"VIa","Nephrops",101.62643,102.61893,9.00953493338965,"2016"
"3494",2014,"VIIj","John dory",84.76234,85.75745,4.19766207297115,"2014"
"3495",2014,"VIIb","Clam",63.573,64.573,2.2,"2014"
"3496",2014,"VIIb","Herring",70.961,71.961,0.418816251180226,"2014"
"3497",2013,"VIIg","Spiny Lobsters",0.0945,1.1005,31.0754604809792,"2013"
"3498",2017,"VIIj","Brill",30.105691,31.114651,5.69295576042416,"2017"
"3499",2015,"VIIg","Turbot",85.641783,86.6528125003053,9.20270771803055,"2015"
"3500",2008,"VIIj","Whiting",478.981122000001,479.996962,1.0870320950621,"2008"
"3501",2016,"VIIj","Mix Boxes",34.8064019999999,35.832402,2.59572158305821,"2016"
"3502",2017,"VIIb","Monkfish",524.128783000001,525.160734998711,3.7857936739205,"2017"
"3503",2014,"VIIg","Turbot",77.8030790000001,78.8374889999999,8.96281826070146,"2014"
"3504",2010,"VIIj","Squid",89.28936,90.32536,2.8276145436788,"2010"
"3505",2008,"VIIg","Saithe",53.816804,54.8795119999999,0.985638748561767,"2008"
"3506",2015,"VIIa","Megrim",4.362769,5.43972899999999,3.12757831774175,"2015"
"3507",2009,"VIIa","Demersal shark",74.038,75.122,0.856909122978184,"2009"
"3508",2017,"VIIj","Demersal shark",12.536,13.623,0.601655232929164,"2017"
"3509",2014,"VIIj","Lemon Sole",58.9322060000001,60.026256,2.24341493342367,"2014"
"3510",2008,"VIIa","Pollack",21.691135,22.794199,1.95184528555974,"2008"
"3511",2012,"VIIj","Brill",27.5959629999999,28.703621,5.24562139759356,"2012"
"3512",2008,"VIIg","Megrim",798.021089000001,799.132619000001,3.7960693578418,"2008"
"3513",2017,"VIIj","Lemon Sole",84.630127,85.748747002979,3.01075746033619,"2017"
"3514",2009,"VIIj","Sole Black",58.879195,60.014245,8.73820751795265,"2009"
"3515",2012,"VIIg","Spiny Lobsters",0.2405,1.37863,30.485426951427,"2012"
"3516",2016,"VIIj","Pandalus",0.145,1.30520000052452,5,"2016"
"3517",2011,"VIa","Sole Black",11.22655,12.38927,10.2320128334536,"2011"
